date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-03-07,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,1,0.0,0,0.0,0.139,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,1,0.0,0,0.0,0.139,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,5,0.0,0,0.0,0.693,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9,0.001,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,5,0.0,0,0.0,0.693,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,0.002,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,6,0.0,0,0.0,0.831,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,22,0.003,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,7,1.0,0,0.0,0.97,0.139,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39,0.005,0.0,0.0,0.0,0.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,7,1.0,0,0.0,0.97,0.139,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,54,0.007,8.0,0.001,0.125,8.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,8,1.0,0,0.0,1.108,0.139,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,87,0.012,12.0,0.002,0.083,12.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,9,1.143,0,0.0,1.247,0.158,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,114,0.016,15.0,0.002,0.076,13.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,11,0.857,0,0.0,1.524,0.119,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,140,0.019,19.0,0.003,0.045,22.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,11,0.857,0,0.0,1.524,0.119,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,164,0.023,21.0,0.003,0.041,24.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,13,1.0,0,0.0,1.801,0.139,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,196,0.027,25.0,0.003,0.04,25.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,18,1.571,1,0.143,2.493,0.218,0.139,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,240,0.033,29.0,0.004,0.054,18.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,22,2.143,1,0.143,3.047,0.297,0.139,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,308,0.043,36.0,0.005,0.06,16.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,22,2.0,1,0.143,3.047,0.277,0.139,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,345,0.048,37.0,0.005,0.054,18.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,27,2.571,2,0.286,3.74,0.356,0.277,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,434,0.06,46.0,0.006,0.056,17.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,37,3.714,3,0.429,5.125,0.514,0.416,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,525,0.073,55.0,0.008,0.068,14.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,41,4.286,3,0.429,5.679,0.594,0.416,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,576,0.08,59.0,0.008,0.073,13.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,52,5.571,3,0.429,7.203,0.772,0.416,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,654,0.091,65.0,0.009,0.086,11.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,56,5.429,3,0.286,7.757,0.752,0.416,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,755,0.105,74.0,0.01,0.073,13.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,59,5.286,3,0.286,8.172,0.732,0.416,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,815,0.113,72.0,0.01,0.073,13.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,64,6.0,3,0.286,8.865,0.831,0.416,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,920,0.127,82.0,0.011,0.073,13.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,65,5.429,3,0.143,9.003,0.752,0.416,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,988,0.137,79.0,0.011,0.069,14.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,69,4.571,3,0.0,9.557,0.633,0.416,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1078,0.149,79.0,0.011,0.058,17.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,702.7,97.3317094298733
2020-04-01,77,5.143,3,0.0,10.665,0.712,0.416,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1173,0.162,85.0,0.012,0.061,16.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,92,5.714,3,0.0,12.743,0.791,0.416,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1289,0.179,91.0,0.013,0.063,15.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,96,5.714,3,0.0,13.297,0.791,0.416,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1454,0.201,100.0,0.014,0.057,17.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,104,6.429,3,0.0,14.405,0.89,0.416,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1646,0.228,119.0,0.016,0.054,18.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,113,7.0,5,0.286,15.652,0.97,0.693,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1846,0.256,132.0,0.018,0.053,18.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,115,7.143,5,0.286,15.929,0.989,0.693,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2008,0.278,146.0,0.02,0.049,20.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,119,7.143,5,0.286,16.483,0.989,0.693,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2220,0.307,163.0,0.023,0.044,22.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,124,6.714,5,0.286,17.175,0.93,0.693,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2462,0.341,184.0,0.025,0.036,27.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,129,5.286,6,0.429,17.868,0.732,0.831,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2685,0.372,199.0,0.028,0.027,37.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,133,5.286,6,0.429,18.422,0.732,0.831,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2905,0.402,207.0,0.029,0.026,39.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,134,4.286,6,0.429,18.56,0.594,0.831,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3135,0.434,213.0,0.03,0.02,49.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,147,4.857,6,0.143,20.361,0.673,0.831,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3394,0.47,221.0,0.031,0.022,45.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,159,6.286,7,0.286,22.023,0.871,0.97,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3642,0.504,233.0,0.032,0.027,37.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,161,6.0,8,0.429,22.3,0.831,1.108,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3888,0.539,238.0,0.033,0.025,39.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,174,7.143,8,0.429,24.101,0.989,1.108,0.059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4267,0.591,258.0,0.036,0.028,36.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,199,10.0,8,0.286,27.564,1.385,1.108,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4612,0.639,275.0,0.038,0.036,27.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,202,9.857,8,0.286,27.979,1.365,1.108,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4950,0.686,292.0,0.04,0.034,29.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,206,10.286,8,0.286,28.533,1.425,1.108,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5254,0.728,303.0,0.042,0.034,29.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,208,8.714,8,0.286,28.81,1.207,1.108,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5501,0.762,301.0,0.042,0.029,34.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,208,7.0,8,0.143,28.81,0.97,1.108,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5878,0.814,319.0,0.044,0.022,45.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,213,7.429,9,0.143,29.503,1.029,1.247,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6292,0.872,343.0,0.048,0.022,46.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,213,5.571,9,0.143,29.503,0.772,1.247,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6598,0.914,333.0,0.046,0.017,59.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,220,3.0,9,0.143,30.472,0.416,1.247,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6917,0.958,329.0,0.046,0.009,109.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,223,3.0,9,0.143,30.888,0.416,1.247,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7322,1.014,339.0,0.047,0.009,113.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,228,3.143,9,0.143,31.581,0.435,1.247,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7630,1.057,339.0,0.047,0.009,107.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,228,2.857,9,0.143,31.581,0.396,1.247,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7925,1.098,346.0,0.048,0.008,121.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,230,3.143,9,0.143,31.858,0.435,1.247,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8444,1.17,367.0,0.051,0.009,116.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,239,3.714,9,0.0,33.104,0.514,1.247,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,8891,1.232,371.0,0.051,0.01,99.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,249,5.143,9,0.0,34.489,0.712,1.247,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9454,1.309,408.0,0.057,0.013,79.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,266,6.571,10,0.143,36.844,0.91,1.385,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9903,1.372,427.0,0.059,0.015,65.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,603.8,83.6329673456062
2020-05-01,333,15.714,10,0.143,46.124,2.177,1.385,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10342,1.432,431.0,0.06,0.036,27.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,370,20.286,10,0.143,51.249,2.81,1.385,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,10766,1.491,448.0,0.062,0.045,22.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,396,24.0,10,0.143,54.85,3.324,1.385,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11106,1.538,454.0,0.063,0.053,18.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,415,26.429,10,0.143,57.482,3.661,1.385,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11455,1.587,430.0,0.06,0.061,16.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,431,27.429,10,0.143,59.698,3.799,1.385,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11913,1.65,432.0,0.06,0.063,15.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,440,27.286,10,0.143,60.945,3.779,1.385,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,12497,1.731,435.0,0.06,0.063,15.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,462,28.0,10,0.0,63.992,3.878,1.385,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13096,1.814,456.0,0.063,0.061,16.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,563,32.857,10,0.0,77.982,4.551,1.385,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13846,1.918,501.0,0.069,0.066,15.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,689,45.571,10,0.0,95.434,6.312,1.385,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14646,2.029,554.0,0.077,0.082,12.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,713,45.286,10,0.0,98.758,6.273,1.385,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,15446,2.139,620.0,0.086,0.073,13.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,724,44.143,10,0.0,100.282,6.114,1.385,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16155,2.238,671.0,0.093,0.066,15.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,737,43.714,10,0.0,102.083,6.055,1.385,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16917,2.343,715.0,0.099,0.061,16.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,740,42.857,11,0.143,102.498,5.936,1.524,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,17589,2.436,727.0,0.101,0.059,17.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,754,41.714,11,0.143,104.437,5.778,1.524,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,18184,2.519,727.0,0.101,0.057,17.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,759,28.0,11,0.143,105.13,3.878,1.524,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,18856,2.612,716.0,0.099,0.039,25.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,778,12.714,11,0.143,107.762,1.761,1.524,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19308,2.674,666.0,0.092,0.019,52.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,786,10.429,11,0.143,108.87,1.444,1.524,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20124,2.787,668.0,0.093,0.016,64.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,788,9.143,11,0.143,109.147,1.266,1.524,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20429,2.83,611.0,0.085,0.015,66.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,829,13.143,11,0.143,114.826,1.82,1.524,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21121,2.925,601.0,0.083,0.022,45.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,833,13.286,11,0.0,115.38,1.84,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21542,2.984,565.0,0.078,0.024,42.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,836,11.714,11,0.0,115.795,1.623,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21987,3.045,543.0,0.075,0.022,46.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,838,11.286,11,0.0,116.072,1.563,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,22868,3.167,573.0,0.079,0.02,50.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,850,10.286,11,0.0,117.734,1.425,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,23805,3.297,642.0,0.089,0.016,62.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,862,10.857,11,0.0,119.397,1.504,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,24812,3.437,670.0,0.093,0.016,61.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,865,11.0,11,0.0,119.812,1.524,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,25216,3.493,684.0,0.095,0.016,62.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,877,6.857,11,0.0,121.474,0.95,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,26169,3.625,721.0,0.1,0.01,105.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,884,7.286,11,0.0,122.444,1.009,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,26760,3.707,745.0,0.103,0.01,102.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,900,9.143,11,0.0,124.66,1.266,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,27425,3.799,777.0,0.108,0.012,85.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,917,11.286,11,0.0,127.015,1.563,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,28337,3.925,781.0,0.108,0.014,69.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,964,16.286,11,0.0,133.525,2.256,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,29153,4.038,764.0,0.106,0.021,46.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,986,17.714,11,0.0,136.572,2.454,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,30004,4.156,742.0,0.103,0.024,41.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,319.9,44.3096824343482
2020-06-01,995,18.571,11,0.0,137.818,2.572,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,30834,4.271,803.0,0.111,0.023,43.2,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,1013,19.429,11,0.0,140.312,2.691,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,32106,4.447,848.0,0.117,0.023,43.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,1070,26.571,11,0.0,148.207,3.68,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,33081,4.582,903.0,0.125,0.029,34.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,1086,26.571,11,0.0,150.423,3.68,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,34240,4.743,974.0,0.135,0.027,36.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,1087,24.286,11,0.0,150.562,3.364,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,35258,4.884,989.0,0.137,0.025,40.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,1090,18.0,11,0.0,150.977,2.493,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,36373,5.038,1031.0,0.143,0.017,57.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,1135,21.286,11,0.0,157.21,2.948,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,37532,5.199,1075.0,0.149,0.02,50.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,1145,21.429,11,0.0,158.595,2.968,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,38942,5.394,1158.0,0.16,0.019,54.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,1187,24.857,11,0.0,164.413,3.443,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,40032,5.545,1132.0,0.157,0.022,45.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-10,1202,18.857,11,0.0,166.49,2.612,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,41702,5.776,1232.0,0.171,0.015,65.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,1230,20.571,11,0.0,170.369,2.849,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,43292,5.996,1293.0,0.179,0.016,62.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,1254,23.857,11,0.0,173.693,3.304,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,45132,6.251,1411.0,0.195,0.017,59.1,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,1261,24.429,11,0.0,174.662,3.384,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,46608,6.456,1462.0,0.203,0.017,59.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,1289,22.0,11,0.0,178.541,3.047,1.524,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,48081,6.66,1507.0,0.209,0.015,68.5,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,1296,21.571,12,0.143,179.51,2.988,1.662,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,48729,6.75,1398.0,0.194,0.015,64.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,1303,16.571,13,0.286,180.48,2.295,1.801,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,49978,6.923,1421.0,0.197,0.012,85.8,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-17,1308,15.143,13,0.286,181.172,2.097,1.801,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,51178,7.089,1354.0,0.188,0.011,89.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-18,1330,14.286,13,0.286,184.22,1.979,1.801,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,52649,7.292,1337.0,0.185,0.011,93.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,1336,11.714,13,0.286,185.051,1.623,1.801,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,54278,7.518,1307.0,0.181,0.009,111.6,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-20,1362,14.429,13,0.286,188.652,1.999,1.801,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,55827,7.733,1317.0,0.182,0.011,91.3,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,1379,12.857,13,0.286,191.007,1.781,1.801,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,56992,7.894,1273.0,0.176,0.01,99.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,1392,13.714,13,0.143,192.807,1.9,1.801,0.02,0,0.0,0,0.0,0.0,0.0,0.0,0.0,57895,8.019,1309.0,0.181,0.01,95.4,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
