date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-02-25,1,0.0,0,0.0,0.115,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,1,0.0,0,0.0,0.115,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,8,0.0,0,0.0,0.918,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,8,0.0,0,0.0,0.918,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,18,0.0,0,0.0,2.065,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,27,3.857,0,0.0,3.098,0.443,0.0,0.0,0,0.0,0,0.0,0.0,0.0,42.0,4.819,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1083.4,-124.307354236031
2020-03-02,42,6.0,0,0.0,4.819,0.688,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,56,7.857,0,0.0,6.425,0.902,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,90,12.714,0,0.0,10.326,1.459,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,114,15.143,0,0.0,13.08,1.737,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,214,29.429,1,0.143,24.554,3.377,0.115,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,268,35.714,1,0.143,30.75,4.098,0.115,0.016,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,337,44.286,2,0.286,38.667,5.081,0.229,0.033,0,0.0,0,0.0,0.0,0.0,89.0,10.212,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1187.0,-136.194230642577
2020-03-09,374,47.429,2,0.286,42.912,5.442,0.229,0.033,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,491,62.143,5,0.714,56.336,7.13,0.574,0.082,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,652,80.286,7,1.0,74.809,9.212,0.803,0.115,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,652,76.857,10,1.429,74.809,8.818,1.147,0.164,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,1139,132.143,11,1.429,130.687,15.162,1.262,0.164,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,1359,155.857,14,1.857,155.929,17.883,1.606,0.213,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,2200,266.143,22,2.857,252.424,30.537,2.524,0.328,0,0.0,0,0.0,0.0,0.0,256.0,29.373,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1192.8,-136.859712140241
2020-03-16,2200,260.857,33,4.429,252.424,29.93,3.786,0.508,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,2700,315.571,40,5.0,309.793,36.208,4.59,0.574,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,3028,339.429,48,5.857,347.427,38.945,5.507,0.672,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,4075,489.0,58,6.857,467.558,56.107,6.655,0.787,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,5294,593.571,78,9.571,607.424,68.105,8.95,1.098,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,6575,745.143,98,12.0,754.404,85.496,11.244,1.377,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,7474,753.429,113,13.0,857.553,86.447,12.965,1.492,0,0.0,0,0.0,0.0,0.0,697.0,79.973,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-1016.0,-116.57400028042
2020-03-23,8795,942.143,141,15.429,1009.122,108.1,16.178,1.77,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,9877,1025.286,161,17.286,1133.269,117.639,18.473,1.983,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,10897,1124.143,196,21.143,1250.302,128.982,22.489,2.426,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,11811,1105.143,238,25.714,1355.173,126.802,27.308,2.95,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,12928,1090.571,273,27.857,1483.335,125.13,31.324,3.196,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,14076,1071.571,329,33.0,1615.055,122.95,37.749,3.786,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,14829,1050.714,376,37.571,1701.453,120.557,43.142,4.311,0,0.0,0,0.0,0.0,0.0,1076.0,123.458,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-682.4,-78.2973403458255
2020-03-30,15922,1018.143,434,41.857,1826.861,116.82,49.796,4.803,453,51.976,1328,152.372,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,16605,961.143,485,46.286,1905.228,110.28,55.648,5.311,487,55.877,1440,165.223,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,17768,981.571,546,50.0,2038.668,112.624,62.647,5.737,514,58.975,1631,187.138,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,18827,1002.286,605,52.429,2160.176,115.0,69.417,6.016,493,56.566,1680,192.76,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,19606,954.0,660,55.286,2249.557,109.46,75.727,6.343,482,55.304,1655,189.892,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,20505,918.429,719,55.714,2352.707,105.379,82.497,6.393,458,52.55,1646,188.859,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,21100,895.857,771,56.429,2420.976,102.789,88.463,6.475,466,53.468,1616,185.417,0.0,0.0,735.0,84.333,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-116.6,-13.3784728668277
2020-04-06,21657,819.286,823,55.571,2484.885,94.003,94.43,6.376,471,54.042,1624,186.335,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,22253,806.857,882,56.714,2553.269,92.577,101.199,6.507,473,54.271,1622,186.105,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,23280,787.429,946,57.143,2671.105,90.348,108.542,6.556,456,52.321,1565,179.565,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,24051,746.286,991,55.143,2759.568,85.627,113.706,6.327,454,52.091,1534,176.008,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,24551,706.429,1046,55.143,2816.937,81.054,120.016,6.327,440,50.485,1411,161.896,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,25107,657.429,1087,52.571,2880.732,75.432,124.72,6.032,429,49.223,1372,157.421,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,25415,616.429,1141,52.857,2916.071,70.728,130.916,6.065,425,48.764,1338,153.52,0.0,0.0,431.0,49.452,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,281.8,32.3332217313213
2020-04-13,25688,575.857,1173,50.0,2947.395,66.073,134.588,5.737,425,48.764,1338,153.52,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,25936,526.143,1209,46.714,2975.85,60.369,138.718,5.36,399,45.781,1319,151.34,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,26336,436.571,1256,44.286,3021.745,50.091,144.111,5.081,381,43.715,1277,146.521,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,26732,383.0,1298,43.857,3067.181,43.945,148.93,5.032,369,42.338,1153,132.293,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,27078,361.0,1330,40.571,3106.881,41.42,152.602,4.655,337,38.667,1087,124.72,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,27404,328.143,1366,39.857,3144.285,37.651,156.732,4.573,319,36.601,1055,121.049,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,27740,332.143,1391,35.714,3182.837,38.109,159.601,4.098,315,36.143,1049,120.36,0.0,0.0,283.0,32.471,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,616.2,70.7016722173178
2020-04-20,27944,322.286,1432,37.0,3206.244,36.978,164.305,4.245,305,34.995,1056,121.164,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,28063,303.857,1469,37.143,3219.898,34.864,168.55,4.262,273,31.324,977,112.099,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,28268,276.0,1497,34.429,3243.419,31.668,171.763,3.95,260,29.832,895,102.691,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,28496,252.0,1531,33.286,3269.579,28.914,175.664,3.819,248,28.455,860,98.675,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,28677,228.429,1554,32.0,3290.347,26.209,178.303,3.672,250,28.685,827,94.888,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,28894,212.857,1581,30.714,3315.245,24.423,181.401,3.524,241,27.652,805,92.364,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,29061,188.714,1594,29.0,3334.407,21.653,182.893,3.327,236,27.078,801,91.905,0.0,0.0,181.0,20.768,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,781.2,89.6334734439608
2020-04-27,29164,174.286,1614,26.0,3346.225,19.997,185.187,2.983,225,25.816,794,91.102,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,29264,171.571,1637,24.0,3357.698,19.686,187.826,2.754,203,23.292,766,87.889,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,29407,162.714,1649,21.714,3374.106,18.67,189.203,2.491,197,22.603,717,82.267,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,29586,155.714,1665,19.143,3394.644,17.866,191.039,2.196,192,22.03,666,76.416,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,29705,146.857,1679,17.857,3408.298,16.85,192.645,2.049,152,17.44,548,62.877,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,29817,131.857,1688,15.286,3421.149,15.129,193.678,1.754,143,16.408,519,59.549,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,29905,120.571,1695,14.429,3431.246,13.834,194.481,1.656,137,15.719,509,58.402,0.0,0.0,89.0,10.212,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,790.0,90.6431695093818
2020-05-04,29981,116.714,1702,12.571,3439.966,13.392,195.284,1.442,134,15.375,519,59.549,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,30009,106.429,1714,11.0,3443.178,12.211,196.661,1.262,127,14.572,502,57.599,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,30060,93.286,1719,10.0,3449.03,10.703,197.235,1.147,122,13.998,459,52.665,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,30126,77.143,1730,9.286,3456.603,8.851,198.497,1.065,114,13.08,419,48.075,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,30207,71.714,1738,8.429,3465.896,8.228,199.415,0.967,100,11.474,378,43.371,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,30251,62.0,1745,8.143,3470.945,7.114,200.218,0.934,96,11.015,369,42.338,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,30305,57.143,1754,8.429,3477.141,6.556,201.251,0.967,92,10.556,354,40.617,0.0,0.0,60.0,6.884,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,764.6,87.7288195023713
2020-05-11,30344,51.857,1757,7.857,3481.616,5.95,201.595,0.902,96,11.015,368,42.224,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,30380,53.0,1758,6.286,3485.746,6.081,201.71,0.721,86,9.867,354,40.617,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,30413,50.429,1761,6.0,3489.533,5.786,202.054,0.688,85,9.753,336,38.552,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,30463,48.143,1763,4.714,3495.269,5.524,202.283,0.541,83,9.523,308,35.339,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,30514,43.857,1767,4.143,3501.121,5.032,202.742,0.475,80,9.179,270,30.979,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,30572,45.857,1768,3.286,3507.776,5.262,202.857,0.377,76,8.72,248,28.455,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,30587,40.286,1772,2.571,3509.497,4.622,203.316,0.295,70,8.032,245,28.111,0.0,0.0,48.0,5.507,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,730.2,83.7818257920894
2020-05-18,30597,36.143,1778,3.0,3510.644,4.147,204.005,0.344,68,7.802,244,27.996,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,30618,34.0,1781,3.286,3513.054,3.901,204.349,0.377,67,7.687,230,26.39,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,30658,35.0,1781,2.857,3517.643,4.016,204.349,0.328,60,6.884,208,23.866,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,30694,33.0,1786,3.286,3521.774,3.786,204.922,0.377,58,6.655,187,21.456,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,30707,27.571,1788,3.0,3523.266,3.163,205.152,0.344,55,6.311,190,21.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,30725,21.857,1789,3.0,3525.331,2.508,205.267,0.344,50,5.737,172,19.735,0.0,0.0,0.0,0.0,2512,0.288,0.0,0.0,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,30736,21.286,1790,2.571,3526.593,2.442,205.381,0.295,49,5.622,172,19.735,0.0,0.0,36.0,4.131,4166,0.478,0.0,0.0,0.007,142.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,699.6,80.2708372009665
2020-05-25,30746,21.286,1793,2.143,3527.74,2.442,205.726,0.246,48,5.507,170,19.505,0.0,0.0,0.0,0.0,8043,0.923,0.0,0.0,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,30761,20.429,1795,2.0,3529.461,2.344,205.955,0.229,38,4.36,158,18.129,0.0,0.0,0.0,0.0,13621,1.563,0.0,0.0,0.007,142.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,30776,16.857,1796,2.143,3531.183,1.934,206.07,0.246,44,5.048,162,18.588,0.0,0.0,0.0,0.0,18529,2.126,0.0,0.0,0.007,142.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,30796,14.571,1796,1.429,3533.477,1.672,206.07,0.164,37,4.245,142,16.293,0.0,0.0,0.0,0.0,22681,2.602,0.0,0.0,0.007,142.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,30828,17.286,1796,1.143,3537.149,1.983,206.07,0.131,31,3.557,138,15.834,0.0,0.0,0.0,0.0,26364,3.025,0.0,0.0,0.008,125.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,30845,17.143,1796,1.0,3539.099,1.967,206.07,0.115,32,3.672,139,15.949,0.0,0.0,0.0,0.0,28949,3.322,3777.0,0.433,0.008,125.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,30862,18.0,1796,0.857,3541.05,2.065,206.07,0.098,35,4.016,138,15.834,0.0,0.0,22.0,2.524,30507,3.5,3763.0,0.432,0.008,125.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,632.4,72.5604308832064
2020-06-01,30871,17.857,1796,0.429,3542.083,2.049,206.07,0.049,32,3.672,123,14.113,0.0,0.0,0.0,0.0,32279,3.704,3462.0,0.397,0.008,125.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,30874,16.143,1796,0.143,3542.427,1.852,206.07,0.016,32,3.672,119,13.654,0.0,0.0,0.0,0.0,36414,4.178,3256.0,0.374,0.008,125.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,30893,16.714,1796,0.0,3544.607,1.918,206.07,0.0,33,3.786,113,12.965,0.0,0.0,0.0,0.0,41573,4.77,3292.0,0.378,0.008,125.0,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,30913,16.714,1796,0.0,3546.902,1.918,206.07,0.0,32,3.672,109,12.506,0.0,0.0,0.0,0.0,46714,5.36,3433.0,0.394,0.007,142.9,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,30936,15.429,1796,0.0,3549.541,1.77,206.07,0.0,28,3.213,111,12.736,0.0,0.0,0.0,0.0,51513,5.911,3593.0,0.412,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,30956,15.857,1796,0.0,3551.835,1.819,206.07,0.0,28,3.213,111,12.736,0.0,0.0,0.0,0.0,54630,6.268,3669.0,0.421,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,30965,14.714,1798,0.286,3552.868,1.688,206.299,0.033,28,3.213,110,12.621,0.0,0.0,6.0,0.688,56159,6.444,3665.0,0.421,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,627.6,72.009687574795
2020-06-08,30972,14.429,1799,0.429,3553.671,1.656,206.414,0.049,31,3.557,103,11.818,0.0,0.0,0.0,0.0,60760,6.971,4069.0,0.467,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,30988,16.286,1799,0.429,3555.507,1.869,206.414,0.049,31,3.557,92,10.556,0.0,0.0,0.0,0.0,67171,7.707,4394.0,0.504,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-10,31011,16.857,1800,0.571,3558.146,1.934,206.529,0.066,30,3.442,89,10.212,0.0,0.0,0.0,0.0,73693,8.455,4589.0,0.527,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,31044,18.714,1800,0.571,3561.932,2.147,206.529,0.066,19,2.18,75,8.605,0.0,0.0,0.0,0.0,79297,9.098,4655.0,0.534,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,31063,18.143,1802,0.857,3564.112,2.082,206.758,0.098,24,2.754,73,8.376,0.0,0.0,0.0,0.0,85734,9.837,4889.0,0.561,0.006,166.7,tests performed,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
