date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million
2020-02-27,1,0.0,0,0.0,0.058,0.0,0.0,0.0,7,0.408,1,0.058,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,1,0.0,0,0.0,0.058,0.0,0.0,0.0,8,0.466,9,0.524,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,6,0.0,0,0.0,0.349,0.0,0.0,0.0,9,0.524,10,0.582,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,10,0.0,0,0.0,0.582,0.0,0.0,0.0,11,0.641,20,1.165,1.973,0.115,30.582,1.781,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-2332.1,-135.79964099655
2020-03-02,18,0.0,0,0.0,1.048,0.0,0.0,0.0,10,0.582,34,1.98,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,24,3.429,0,0.0,1.398,0.2,0.0,0.0,12,0.699,40,2.329,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,38,5.429,0,0.0,2.213,0.316,0.0,0.0,15,0.873,53,3.086,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,82,11.571,0,0.0,4.775,0.674,0.0,0.0,15,0.873,65,3.785,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,128,18.143,1,0.143,7.454,1.056,0.058,0.008,19,1.106,77,4.484,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,188,26.0,1,0.143,10.947,1.514,0.058,0.008,21,1.223,93,5.415,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,265,36.429,3,0.429,15.431,2.121,0.175,0.025,27,1.572,108,6.289,17.758,1.034,106.545,6.204,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-2644.8,-154.008357492249
2020-03-09,321,43.286,3,0.429,18.692,2.521,0.175,0.025,32,1.863,141,8.211,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,382,51.143,4,0.571,22.244,2.978,0.233,0.033,39,2.271,174,10.132,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,503,66.429,5,0.714,29.29,3.868,0.291,0.042,48,2.795,215,12.52,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,503,60.143,5,0.714,29.29,3.502,0.291,0.042,68,3.96,283,16.479,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,806,96.857,10,1.286,46.934,5.64,0.582,0.075,79,4.6,350,20.381,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,962,110.571,12,1.571,56.018,6.439,0.699,0.092,96,5.59,424,24.69,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,1138,124.714,20,2.429,66.266,7.262,1.165,0.141,120,6.988,500,29.115,109.505,6.377,493.265,28.723,17080,0.995,0.0,0.0,0.09,11.1,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,-2698.7,-157.146988189781
2020-03-16,1416,156.429,24,3.0,82.455,9.109,1.398,0.175,150,8.735,636,37.035,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,1711,189.857,43,5.571,99.633,11.056,2.504,0.324,179,10.423,775,45.129,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,2058,222.143,58,7.571,119.839,12.936,3.377,0.441,228,13.277,966,56.251,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,2467,280.571,77,10.286,143.655,16.338,4.484,0.599,287,16.712,1234,71.857,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,3003,313.857,107,13.857,174.867,18.276,6.231,0.807,362,21.079,1482,86.298,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,3640,382.571,137,17.857,211.959,22.277,7.978,1.04,430,25.039,1671,97.303,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,4217,439.857,180,22.857,245.559,25.613,10.482,1.331,480,27.951,1871,108.949,420.262,24.472,1845.796,107.482,38418,2.237,3048.0,0.177,0.185,5.4,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,-2232.8,-130.017339915568
2020-03-23,4764,478.286,214,27.143,277.411,27.851,12.461,1.581,573,33.366,2244,130.67,0.0,0.0,0.0,0.0,0,0.0,3118.0,0.182,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,5580,552.714,277,33.429,324.927,32.185,16.13,1.947,653,38.025,2544,148.139,0.0,0.0,0.0,0.0,0,0.0,3187.0,0.186,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,6438,625.714,357,42.714,374.889,36.436,20.788,2.487,752,43.789,2811,163.686,0.0,0.0,0.0,0.0,0,0.0,3257.0,0.19,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,7468,714.429,435,51.143,434.866,41.602,25.33,2.978,838,48.797,2952,171.897,0.0,0.0,0.0,0.0,0,0.0,3326.0,0.194,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,8647,806.286,547,62.857,503.52,46.951,31.852,3.66,927,53.98,3226,187.852,0.0,0.0,0.0,0.0,0,0.0,3396.0,0.198,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,9819,882.714,640,71.857,571.767,51.401,37.268,4.184,992,57.765,3284,191.229,0.0,0.0,0.0,0.0,0,0.0,3465.0,0.202,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,10930,959.0,772,84.571,636.461,55.843,44.954,4.925,1038,60.443,3284,191.229,739.897,43.085,3239.762,188.653,63163,3.678,3535.0,0.206,0.292,3.4,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,-897.9,-52.2852783546168
2020-03-30,11817,1007.571,865,93.0,688.111,58.672,50.369,5.415,1126,65.568,3232,188.201,0.0,0.0,0.0,0.0,0,0.0,3624.0,0.211,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,12667,1012.429,1040,109.0,737.607,58.954,60.56,6.347,1191,69.353,3095,180.224,0.0,0.0,0.0,0.0,0,0.0,3713.0,0.216,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,13696,1036.857,1175,116.857,797.527,60.377,68.421,6.805,1208,70.343,2945,171.489,0.0,0.0,0.0,0.0,0,0.0,3802.0,0.221,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,14788,1045.714,1341,129.429,861.114,60.893,78.087,7.537,1249,72.73,2807,163.453,0.0,0.0,0.0,0.0,0,0.0,3890.0,0.227,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,15821,1024.857,1490,134.714,921.267,59.678,86.764,7.844,1276,74.302,2531,147.382,0.0,0.0,0.0,0.0,0,0.0,3979.0,0.232,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,16727,986.857,1656,145.143,974.024,57.465,96.43,8.452,1360,79.194,2570,149.653,0.0,0.0,0.0,0.0,0,0.0,4068.0,0.237,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,17953,1003.286,1771,142.714,1045.414,58.422,103.126,8.31,1385,80.649,2270,132.184,619.54,36.076,2274.937,132.471,92261,5.372,4157.0,0.242,0.255,3.9,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,1195.0,69.585597097413
2020-04-06,18926,1015.571,1874,144.143,1102.073,59.137,109.124,8.394,1409,82.047,2912,169.568,0.0,0.0,0.0,0.0,0,0.0,4358.0,0.254,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,19709,1006.0,2108,152.571,1147.667,58.58,122.75,8.884,1424,82.92,2713,157.98,0.0,0.0,0.0,0.0,0,0.0,4559.0,0.265,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,20682,998.0,2255,154.286,1204.326,58.114,131.31,8.984,1408,81.989,2864,166.773,0.0,0.0,0.0,0.0,0,0.0,4761.0,0.277,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,21903,1016.429,2403,151.714,1275.425,59.187,139.928,8.834,1417,82.513,2733,159.144,0.0,0.0,0.0,0.0,0,0.0,4962.0,0.289,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,23249,1061.143,2520,147.143,1353.804,61.791,146.741,8.568,1384,80.591,2675,155.767,0.0,0.0,0.0,0.0,0,0.0,5163.0,0.301,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,24571,1120.571,2653,142.429,1430.785,65.252,154.486,8.294,1391,80.999,2685,156.349,0.0,0.0,0.0,0.0,0,0.0,5364.0,0.312,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,25746,1113.286,2747,139.429,1499.206,64.827,159.96,8.119,1358,79.077,2532,147.44,338.38,19.704,1293.34,75.312,131221,7.641,5566.0,0.324,0.215,4.7,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,3250.3,189.267001042445
2020-04-13,26710,1112.0,2833,137.0,1555.34,64.752,164.967,7.978,1338,77.913,2415,140.627,0.0,0.0,0.0,0.0,0,0.0,5589.0,0.325,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,27580,1124.429,2955,121.0,1606.001,65.476,172.071,7.046,1303,75.875,2391,139.229,0.0,0.0,0.0,0.0,0,0.0,5612.0,0.327,0.0,0.0,people tested,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
